order_id,date,transaction_amount,revenue_tier
87,2022-05-29,160,High
88,2022-07-07,400,High
89,2022-12-23,280,High
90,2022-10-29,300,High
91,2023-03-22,240,High
92,2022-05-13,300,High
93,2022-03-07,80,Medium
94,2022-09-14,300,High
95,2022-12-05,200,High
96,2022-08-22,900,High
97,2023-03-29,520,High
98,2022-12-24,20,Low
99,2022-11-09,75,Medium
100,2022-08-05,220,High
101,2023-03-26,60,Medium
102,2023-03-13,560,High
103,2023-03-14,320,High
104,2022-10-27,520,High
105,2023-01-25,160,High
106,2023-02-25,450,High
107,2023-07-02,240,High
108,2022-06-08,100,Medium
109,2022-08-08,480,High
110,2022-11-16,40,Low
111,2022-04-09,480,High
112,2023-02-24,420,High
113,2022-12-12,160,High
114,2022-08-14,200,High
115,2023-12-01,260,High
116,2022-08-26,325,High
117,2023-09-03,350,High
118,2022-06-07,60,Medium
119,2022-12-05,200,High
120,2022-10-07,100,Medium
121,2022-08-26,320,High
122,2022-04-24,60,Medium
123,2022-09-06,240,High
124,2022-10-14,325,High
125,2022-10-04,140,High
126,2022-08-04,220,High
127,2022-03-12,20,Low
128,2022-07-08,220,High
129,2022-10-19,260,High
130,2022-12-28,175,High
131,2023-01-19,480,High
132,2022-05-12,80,Medium
133,2022-12-20,100,Medium
134,2022-07-17,240,High
135,2023-01-14,160,High
136,2022-08-24,300,High
137,2023-03-19,150,High
138,2022-01-09,900,High
139,2023-02-26,550,High
140,2022-12-06,650,High
141,2022-06-15,80,Medium
142,2022-12-30,300,High
143,2022-09-18,400,High
144,2022-11-17,200,High
145,2022-09-10,840,High
146,2022-10-28,200,High
147,2022-05-17,140,High
148,2023-03-19,780,High
149,2022-09-08,420,High
150,2023-01-30,560,High
151,2022-10-07,650,High
152,2022-10-24,360,High
153,2022-07-21,20,Low
154,2022-12-13,60,Medium
155,2023-07-02,250,High
156,2023-03-25,280,High
157,2023-02-24,350,High
158,2022-05-16,40,Low
159,2022-03-10,25,Low
160,2022-07-23,200,High
161,2023-01-19,300,High
162,2022-07-05,220,High
163,2023-06-01,300,High
164,2022-10-08,175,High
165,2023-05-01,660,High
166,2022-01-06,120,High
167,2023-02-23,240,High
168,2022-04-19,240,High
169,2022-06-20,120,High
170,2023-02-13,120,High
171,2023-02-03,220,High
172,2022-08-27,150,High
173,2023-01-20,80,Medium
174,2022-03-09,40,Low
175,2022-10-17,600,High
176,2022-04-08,20,Low
177,2022-07-21,220,High
178,2022-09-12,40,Low
179,2023-03-03,125,High
180,2022-01-12,120,High
181,2022-09-06,280,High
182,2022-02-07,40,Low
183,2022-10-07,125,High
184,2023-03-01,320,High
185,2023-01-13,375,High
186,2023-03-15,100,Medium
187,2022-11-10,300,High
188,2022-12-28,280,High
189,2023-08-02,240,High
190,2022-04-26,40,Low
191,2022-05-20,350,High
192,2022-10-26,40,Low
193,2023-05-02,600,High
194,2022-12-15,80,Medium
195,2022-04-23,240,High
196,2022-06-25,180,High
197,2022-08-11,200,High
198,2023-05-01,750,High
199,2023-01-02,300,High
200,2022-12-25,400,High
201,2022-06-30,160,High
202,2022-09-21,180,High
203,2022-11-04,120,High
204,2022-10-24,280,High
205,2022-10-17,80,Medium
206,2022-07-27,80,Medium
207,2023-02-20,320,High
208,2022-08-26,520,High
209,2022-04-12,40,Low
210,2023-02-01,375,High
211,2022-04-18,240,High
212,2022-05-05,480,High
213,2022-09-29,60,Medium
214,2022-03-12,350,High
215,2022-10-12,175,High
216,2023-07-03,180,High
217,2023-03-23,400,High
218,2022-12-23,520,High
219,2022-01-10,180,High
220,2022-05-13,25,Low
221,2023-03-26,60,Medium
222,2022-11-09,360,High
223,2022-09-21,260,High
224,2023-03-23,350,High
225,2023-03-16,550,High
226,2022-12-12,260,High
227,2022-11-17,200,High
228,2022-05-11,160,High
229,2022-12-15,140,High
230,2022-04-16,300,High
231,2022-04-16,75,Medium
232,2022-04-23,260,High
233,2022-07-31,100,Medium
234,2022-07-27,200,High
235,2022-11-29,600,High
236,2022-06-26,240,High
237,2022-08-11,260,High
238,2022-04-26,260,High
239,2022-04-12,200,High
240,2022-11-12,600,High
241,2022-06-06,50,Medium
242,2022-12-23,160,High
243,2022-12-11,100,Medium
244,2022-11-22,600,High
245,2022-03-10,40,Low
246,2022-11-16,200,High
247,2022-03-10,150,High
248,2022-04-17,250,High
249,2022-10-26,75,Medium
250,2022-11-15,150,High
251,2022-12-21,520,High
252,2023-03-26,160,High
253,2022-06-18,325,High
254,2022-09-10,480,High
255,2022-04-30,140,High
256,2023-03-16,60,Medium
257,2023-03-01,600,High
258,2022-06-09,280,High
259,2022-11-18,240,High
260,2022-10-09,50,Medium
261,2023-11-01,450,High
262,2023-05-03,100,Medium
263,2022-06-19,40,Low
264,2022-07-18,300,High
265,2022-08-15,120,High
266,2022-02-10,500,High
267,2023-05-03,20,Low
268,2023-05-02,480,High
269,2022-12-22,40,Low
270,2022-07-09,780,High
271,2022-03-05,260,High
272,2022-07-29,250,High
273,2022-08-15,300,High
274,2023-04-01,250,High
275,2023-04-02,300,High
276,2022-09-30,150,High
277,2022-08-12,520,High
278,2022-06-19,300,High
279,2022-09-14,300,High
280,2022-09-10,280,High
281,2022-09-08,180,High
282,2022-05-16,260,High
283,2022-02-07,40,Low
284,2023-01-29,350,High
285,2022-06-28,60,Medium
286,2022-12-14,120,High
287,2022-06-08,60,Medium
288,2022-08-22,420,High
289,2022-11-28,140,High
290,2022-03-05,140,High
291,2023-01-27,400,High
292,2023-01-16,100,Medium
293,2022-04-21,160,High
294,2022-09-23,20,Low
295,2022-07-21,420,High
296,2023-06-02,140,High
297,2022-04-30,600,High
298,2022-07-19,225,High
299,2022-07-22,20,Low
300,2022-06-27,160,High
301,2023-01-28,140,High
302,2023-03-21,280,High
303,2022-02-07,25,Low
304,2022-05-28,300,High
305,2023-05-03,80,Medium
306,2023-03-03,320,High
307,2023-02-13,160,High
308,2022-12-17,780,High
309,2022-10-14,480,High
310,2022-04-25,80,Medium
311,2022-07-31,350,High
312,2022-12-28,40,Low
313,2022-04-19,40,Low
314,2023-02-27,400,High
315,2023-02-20,520,High
316,2022-02-11,200,High
317,2023-10-03,240,High
318,2022-12-21,200,High
319,2022-06-30,750,High
320,2023-03-18,175,High
321,2023-08-02,600,High
322,2022-05-05,440,High
323,2022-12-29,80,Medium
324,2022-07-18,375,High
325,2023-02-03,240,High
326,2022-03-05,480,High
327,2022-11-29,750,High
328,2022-06-16,60,Medium
329,2023-10-01,140,High
330,2022-09-22,160,High
331,2022-08-21,80,Medium
332,2023-02-17,40,Low
333,2022-10-30,275,High
334,2022-04-04,160,High
335,2022-10-24,440,High
336,2022-03-09,325,High
337,2022-10-15,280,High
338,2022-06-05,300,High
339,2023-02-16,25,Low
340,2022-02-06,160,High
341,2023-03-19,450,High
342,2023-11-03,140,High
343,2023-01-18,125,High
344,2022-05-13,560,High
345,2022-09-05,280,High
346,2023-01-31,480,High
347,2022-06-24,350,High
348,2022-09-19,20,Low
349,2022-08-17,100,Medium
350,2022-09-21,320,High
351,2022-08-07,250,High
352,2022-05-25,550,High
353,2022-05-18,80,Medium
354,2023-01-16,280,High
355,2023-03-15,160,High
356,2022-05-26,350,High
357,2022-09-21,540,High
358,2022-10-27,120,High
359,2022-08-27,260,High
360,2022-06-10,80,Medium
361,2022-06-30,900,High
362,2022-12-30,50,Medium
363,2022-09-05,450,High
364,2022-11-10,80,Medium
365,2022-08-07,200,High
366,2022-11-30,250,High
367,2022-10-08,120,High
368,2022-08-31,80,Medium
369,2022-03-07,120,High
370,2022-05-28,100,Medium
371,2022-10-18,100,Medium
372,2022-11-19,600,High
373,2022-08-05,300,High
374,2022-07-24,500,High
375,2022-11-17,260,High
376,2022-04-12,750,High
377,2022-05-20,75,Medium
378,2022-04-24,40,Low
379,2023-02-15,560,High
380,2022-10-20,300,High
381,2023-02-26,20,Low
382,2022-08-16,360,High
383,2022-06-05,140,High
384,2022-10-22,25,Low
385,2022-04-25,100,Medium
386,2022-11-23,250,High
387,2023-03-17,350,High
388,2022-09-10,840,High
389,2022-12-22,720,High
390,2022-06-18,125,High
391,2022-04-21,20,Low
392,2022-09-18,300,High
393,2022-02-07,250,High
394,2022-03-04,60,Medium
395,2023-01-31,180,High
396,2022-10-31,750,High
397,2022-06-07,40,Low
398,2023-01-13,120,High
399,2022-06-24,180,High
400,2023-04-03,600,High
401,2022-11-10,200,High
402,2023-03-19,350,High
403,2022-09-25,120,High
404,2022-11-26,350,High
405,2022-12-13,250,High
406,2022-10-13,160,High
407,2023-02-01,50,Medium
408,2022-05-10,80,Medium
409,2022-09-15,180,High
410,2022-11-23,300,High
411,2022-11-20,240,High
412,2023-09-03,350,High
413,2022-03-04,200,High
414,2023-01-21,520,High
415,2022-05-12,160,High
416,2022-05-08,540,High
417,2023-01-16,60,Medium
418,2022-12-11,280,High
419,2022-08-10,350,High
420,2023-01-30,650,High
421,2023-03-24,80,Medium
422,2022-02-08,280,High
423,2022-10-21,350,High
424,2022-04-21,225,High
425,2022-08-17,280,High
426,2023-01-20,700,High
427,2022-05-21,120,High
428,2022-12-24,200,High
429,2022-09-19,120,High
430,2022-05-11,240,High
431,2023-03-16,120,High
432,2023-03-27,120,High
433,2022-05-27,280,High
434,2022-08-21,240,High
435,2022-08-05,60,Medium
436,2023-05-01,500,High
437,2022-08-31,40,Low
438,2022-06-20,200,High
439,2022-09-30,650,High
440,2022-11-28,140,High
441,2022-02-11,20,Low
442,2022-08-22,175,High
443,2022-05-09,300,High
444,2022-09-28,200,High
445,2022-10-22,840,High
446,2022-08-31,360,High
447,2023-01-17,300,High
448,2022-07-27,120,High
449,2022-09-09,200,High
450,2022-05-20,25,Low
451,2023-03-15,250,High
452,2022-12-25,250,High
453,2022-10-20,60,Medium
454,2023-07-03,60,Medium
455,2023-01-03,440,High
456,2022-12-31,520,High
457,2022-10-16,440,High
458,2022-12-09,200,High
459,2022-08-06,280,High
460,2022-11-20,40,Low
461,2022-07-22,125,High
462,2022-04-24,60,Medium
463,2022-11-06,360,High
464,2022-10-18,325,High
465,2023-01-15,300,High
466,2023-11-01,120,High
467,2022-10-17,220,High
468,2022-08-09,40,Low
469,2022-05-15,420,High
470,2022-09-29,160,High
471,2023-02-13,140,High
472,2023-11-01,200,High
473,2022-04-09,300,High
474,2022-08-28,375,High
475,2023-02-24,240,High
476,2023-02-02,200,High
477,2023-02-13,900,High
478,2022-12-27,225,High
479,2023-02-13,660,High
480,2022-02-10,240,High
481,2022-10-29,100,Medium
482,2023-01-31,20,Low
483,2022-04-27,180,High
484,2023-03-21,200,High
485,2023-02-26,120,High
486,2023-02-14,120,High
487,2022-05-27,540,High
488,2022-09-21,400,High
489,2023-03-02,650,High
490,2022-12-26,320,High
491,2022-05-31,40,Low
492,2022-11-07,900,High
493,2022-02-10,80,Medium
494,2023-01-14,400,High
495,2022-10-20,260,High
496,2022-07-11,400,High
497,2023-01-25,420,High
498,2022-06-16,50,Medium
499,2022-07-27,480,High
500,2022-08-04,80,Medium
501,2022-09-08,350,High
502,2023-04-01,260,High
503,2022-04-11,260,High
504,2022-09-12,320,High
505,2023-12-02,200,High
506,2022-12-26,480,High
507,2022-12-14,280,High
508,2022-10-12,60,Medium
509,2022-10-26,220,High
510,2022-04-04,840,High
511,2022-02-08,80,Medium
512,2023-11-01,60,Medium
513,2022-07-16,200,High
514,2022-08-24,320,High
515,2022-02-11,420,High
516,2022-09-22,300,High
517,2022-02-07,260,High
518,2022-09-12,120,High
519,2022-11-25,400,High
520,2022-03-04,220,High
521,2023-01-27,280,High
522,2022-12-29,260,High
523,2022-03-11,300,High
524,2022-01-05,260,High
525,2022-04-05,60,Medium
526,2022-04-07,600,High
527,2023-06-01,150,High
528,2022-01-07,175,High
529,2022-05-15,240,High
530,2022-07-27,120,High
531,2022-04-10,400,High
532,2023-03-27,260,High
533,2023-05-02,100,Medium
534,2022-05-16,40,Low
535,2022-05-09,240,High
536,2023-01-03,175,High
537,2023-01-25,60,Medium
538,2022-05-06,140,High
539,2022-07-09,60,Medium
540,2022-05-27,260,High
541,2022-07-30,240,High
542,2022-04-08,225,High
543,2022-10-04,300,High
544,2022-12-14,900,High
545,2023-01-01,780,High
546,2022-09-07,20,Low
547,2022-05-14,400,High
548,2023-03-29,560,High
549,2022-04-15,75,Medium
550,2022-11-15,600,High
551,2022-07-30,175,High
552,2022-12-09,375,High
553,2022-11-11,280,High
554,2023-09-03,80,Medium
555,2022-04-16,360,High
556,2023-02-27,180,High
557,2022-06-30,120,High
558,2022-01-10,100,Medium
559,2022-08-31,200,High
560,2022-10-12,25,Low
561,2022-06-13,20,Low
562,2022-09-08,200,High
563,2022-10-13,350,High
564,2022-09-27,80,Medium
565,2022-09-27,300,High
566,2022-07-19,150,High
567,2022-10-16,280,High
568,2022-12-29,240,High
569,2023-02-01,600,High
570,2022-09-15,100,Medium
571,2022-11-28,25,Low
572,2022-02-04,900,High
573,2022-07-09,100,Medium
574,2022-10-22,20,Low
575,2022-12-24,20,Low
576,2023-03-23,240,High
577,2022-06-09,280,High
578,2022-06-30,250,High
579,2022-04-27,40,Low
580,2022-01-07,200,High
581,2022-04-23,325,High
582,2022-12-05,260,High
583,2022-05-31,400,High
584,2022-04-12,600,High
585,2023-05-03,220,High
586,2022-05-22,900,High
587,2022-09-04,200,High
588,2022-06-16,550,High
589,2022-08-25,200,High
590,2023-03-27,300,High
591,2022-01-10,780,High
592,2022-04-12,175,High
593,2023-02-16,225,High
594,2023-01-20,300,High
595,2023-02-22,450,High
596,2022-04-26,40,Low
597,2022-11-30,200,High
598,2022-02-08,320,High
599,2022-03-10,650,High
600,2022-12-24,120,High
601,2022-01-11,240,High
602,2022-08-27,200,High
603,2022-08-31,200,High
604,2022-08-09,500,High
605,2022-04-04,600,High
606,2022-09-04,240,High
607,2022-12-15,180,High
608,2023-02-28,20,Low
609,2023-07-02,280,High
610,2022-08-05,650,High
611,2022-06-25,40,Low
612,2023-06-02,60,Medium
613,2022-10-06,100,Medium
614,2022-12-19,40,Low
615,2022-08-14,840,High
616,2022-07-15,120,High
617,2022-06-28,50,Medium
618,2022-08-04,50,Medium
619,2022-09-09,100,Medium
620,2022-09-14,240,High
621,2023-02-13,40,Low
622,2022-12-14,260,High
623,2022-02-04,600,High
624,2023-08-03,540,High
625,2022-06-17,900,High
626,2023-01-02,600,High
627,2022-06-22,375,High
628,2022-02-05,400,High
629,2023-01-20,225,High
630,2022-05-27,350,High
631,2022-01-07,520,High
632,2022-10-28,180,High
633,2022-05-24,120,High
634,2022-07-26,260,High
635,2023-06-02,300,High
636,2022-04-26,480,High
637,2022-05-14,140,High
638,2022-08-20,440,High
639,2023-01-26,280,High
640,2023-04-01,900,High
641,2023-09-02,300,High
642,2022-09-05,400,High
643,2022-10-20,50,Medium
644,2023-03-02,100,Medium
645,2022-07-26,540,High
646,2022-08-30,280,High
647,2022-05-06,60,Medium
648,2022-05-27,420,High
649,2022-05-11,450,High
650,2022-07-04,780,High
651,2022-11-07,600,High
652,2022-05-21,520,High
653,2022-05-30,500,High
654,2023-04-03,180,High
655,2022-06-30,300,High
656,2022-11-28,360,High
657,2023-10-01,280,High
658,2022-10-10,240,High
659,2023-01-21,40,Low
660,2022-07-25,540,High
661,2022-11-10,350,High
662,2023-02-15,60,Medium
663,2023-05-02,25,Low
664,2022-10-31,500,High
665,2022-06-05,280,High
666,2023-01-25,180,High
667,2022-09-28,60,Medium
668,2022-11-05,80,Medium
669,2023-03-18,660,High
670,2022-05-07,300,High
671,2022-09-10,120,High
672,2022-11-24,120,High
673,2022-09-17,720,High
674,2022-07-17,325,High
675,2022-04-17,720,High
676,2022-04-05,350,High
677,2022-05-19,120,High
678,2022-05-23,60,Medium
679,2022-02-11,720,High
680,2022-04-20,160,High
681,2022-09-12,450,High
682,2022-11-10,280,High
683,2022-12-08,750,High
684,2022-09-18,100,Medium
685,2022-05-20,60,Medium
686,2022-11-25,200,High
687,2022-12-18,200,High
688,2022-05-14,250,High
689,2022-08-13,120,High
690,2022-05-10,180,High
691,2022-01-04,420,High
692,2023-01-13,700,High
693,2022-11-29,325,High
694,2022-04-22,280,High
695,2022-08-24,200,High
696,2023-02-23,75,Medium
697,2022-05-05,125,High
698,2022-11-26,200,High
699,2022-09-09,40,Low
700,2022-11-15,300,High
701,2022-07-19,350,High
702,2023-03-25,520,High
703,2022-01-11,200,High
704,2022-08-14,60,Medium
705,2022-07-10,360,High
706,2023-05-02,400,High
707,2022-12-16,40,Low
708,2023-03-15,300,High
709,2023-02-22,240,High
710,2023-03-15,900,High
711,2022-10-30,60,Medium
712,2022-12-17,60,Medium
713,2022-02-12,350,High
714,2022-12-14,350,High
715,2022-12-04,60,Medium
716,2022-03-12,180,High
717,2022-11-10,375,High
718,2022-12-28,40,Low
719,2022-09-05,300,High
720,2022-10-05,700,High
721,2022-08-13,240,High
722,2022-09-14,300,High
723,2023-02-16,400,High
724,2022-06-27,500,High
725,2022-04-07,120,High
726,2022-11-09,20,Low
727,2022-08-25,100,Medium
728,2022-03-08,20,Low
729,2022-11-24,420,High
730,2022-06-28,650,High
731,2023-09-03,500,High
732,2022-06-13,140,High
733,2023-03-02,500,High
734,2022-07-10,350,High
735,2022-10-08,220,High
736,2022-09-25,260,High
737,2022-09-20,650,High
738,2023-01-03,240,High
739,2022-06-06,220,High
740,2022-07-30,180,High
741,2022-07-16,100,Medium
742,2022-11-18,280,High
743,2022-09-11,20,Low
744,2022-06-25,500,High
745,2022-11-09,40,Low
746,2022-05-08,125,High
747,2023-01-14,120,High
748,2022-09-20,840,High
749,2022-08-31,220,High
750,2023-01-02,50,Medium
751,2022-09-16,40,Low
752,2022-04-06,40,Low
753,2022-06-26,25,Low
754,2022-12-29,350,High
755,2023-02-01,240,High
756,2022-10-21,250,High
757,2022-12-25,275,High
758,2022-09-25,60,Medium
759,2022-12-25,325,High
760,2022-11-14,25,Low
761,2022-12-11,180,High
762,2022-09-04,240,High
763,2022-04-07,280,High
764,2023-02-14,420,High
765,2022-06-15,780,High
766,2022-06-19,600,High
767,2023-02-26,400,High
768,2023-12-01,840,High
769,2022-07-06,400,High
770,2023-02-22,160,High
771,2022-08-15,100,Medium
772,2023-03-20,360,High
773,2022-08-14,280,High
774,2023-03-15,20,Low
775,2023-03-27,360,High
776,2023-07-02,500,High
777,2022-10-23,260,High
778,2022-11-06,650,High
779,2023-01-16,780,High
780,2022-11-27,325,High
781,2022-05-27,200,High
782,2022-12-16,100,Medium
783,2022-04-29,160,High
784,2022-09-07,160,High
785,2022-07-12,40,Low
786,2023-03-13,840,High
787,2023-03-25,40,Low
788,2022-08-13,175,High
789,2022-03-08,175,High
790,2022-07-20,60,Medium
791,2022-07-04,60,Medium
792,2023-02-25,40,Low
793,2022-08-30,360,High
794,2022-02-10,125,High
795,2023-10-01,180,High
796,2022-06-25,350,High
797,2022-11-26,440,High
798,2022-05-22,600,High
799,2023-11-01,20,Low
800,2022-06-11,560,High
801,2022-04-28,140,High
802,2023-01-23,420,High
803,2022-08-27,100,Medium
804,2022-11-10,480,High
805,2022-08-05,25,Low
806,2022-05-23,60,Medium
807,2022-06-13,50,Medium
808,2022-09-21,20,Low
809,2022-12-12,200,High
810,2022-12-27,60,Medium
811,2023-02-03,260,High
812,2022-08-08,100,Medium
813,2022-10-13,200,High
814,2022-05-10,260,High
815,2022-04-20,480,High
816,2023-11-01,275,High
817,2022-05-21,240,High
818,2023-02-28,300,High
819,2022-12-10,200,High
820,2023-02-24,60,Medium
821,2022-07-24,240,High
822,2022-06-17,240,High
823,2023-02-13,220,High
824,2023-01-18,40,Low
825,2022-10-30,280,High
826,2022-02-12,900,High
827,2023-06-01,720,High
828,2022-08-18,120,High
829,2022-09-19,240,High
830,2022-11-28,360,High
831,2022-01-08,250,High
832,2022-06-06,100,Medium
833,2022-01-09,40,Low
834,2022-05-25,350,High
835,2022-09-27,175,High
836,2022-08-31,40,Low
837,2022-05-19,140,High
838,2022-07-31,360,High
839,2022-08-05,100,Medium
840,2023-02-18,600,High
841,2023-03-02,180,High
842,2022-05-25,40,Low
843,2022-04-07,25,Low
844,2022-04-05,325,High
845,2022-01-07,240,High
846,2022-04-20,100,Medium
847,2022-08-14,220,High
848,2022-10-11,450,High
849,2022-03-11,400,High
850,2022-08-20,60,Medium
851,2023-01-28,300,High
852,2022-05-05,200,High
853,2023-02-17,120,High
854,2022-10-14,560,High
855,2022-10-23,100,Medium
856,2022-04-05,220,High
857,2022-08-11,350,High
858,2022-11-22,360,High
859,2022-08-10,660,High
860,2022-07-16,200,High
861,2023-01-24,200,High
862,2023-10-03,350,High
863,2022-08-09,450,High
864,2022-08-20,360,High
865,2023-01-23,150,High
866,2022-08-13,500,High
867,2023-01-26,750,High
868,2022-08-17,260,High
869,2022-06-26,180,High
870,2022-10-31,200,High
871,2022-07-12,280,High
872,2022-07-14,720,High
873,2022-09-05,25,Low
874,2022-09-05,160,High
875,2022-05-08,300,High
876,2022-10-06,320,High
877,2022-10-27,350,High
878,2022-12-08,360,High
879,2022-06-11,360,High
880,2022-06-25,125,High
881,2022-05-25,120,High
882,2022-04-23,180,High
883,2022-08-24,100,Medium
884,2023-01-03,240,High
885,2022-10-16,100,Medium
886,2022-07-21,100,Medium
887,2022-10-24,60,Medium
888,2022-05-09,160,High
889,2022-12-04,200,High
890,2023-03-03,125,High
891,2022-12-27,440,High
892,2022-07-14,175,High
893,2022-07-13,300,High
894,2023-03-19,900,High
895,2023-03-01,275,High
896,2022-10-30,260,High
897,2022-08-22,120,High
898,2023-02-03,400,High
899,2023-01-24,140,High
900,2022-07-12,225,High
901,2022-12-24,140,High
902,2022-11-23,200,High
903,2023-01-01,300,High
904,2023-12-03,80,Medium
905,2022-12-13,750,High
906,2022-04-04,900,High
907,2022-10-19,160,High
908,2023-06-03,420,High
909,2023-02-21,480,High
910,2022-09-10,20,Low
911,2022-09-04,60,Medium
912,2022-09-17,120,High
913,2023-02-15,750,High
914,2023-01-03,840,High
915,2022-07-10,280,High
916,2022-11-17,600,High
917,2022-05-15,300,High
918,2022-12-11,120,High
919,2023-03-01,160,High
920,2022-12-07,650,High
921,2022-09-21,280,High
922,2022-06-13,250,High
923,2022-05-30,120,High
924,2022-12-17,280,High
925,2022-10-04,200,High
926,2023-02-27,750,High
927,2022-02-12,240,High
928,2022-07-04,660,High
929,2022-06-06,450,High
930,2022-11-27,250,High
931,2022-06-26,300,High
932,2022-10-18,540,High
933,2023-01-21,375,High
934,2022-09-19,160,High
935,2023-02-17,720,High
936,2022-10-08,40,Low
937,2022-06-22,80,Medium
938,2022-10-08,350,High
939,2023-02-19,300,High
940,2023-07-02,350,High
941,2023-10-02,400,High
942,2022-07-20,300,High
943,2022-06-30,120,High
944,2022-12-05,40,Low
945,2022-05-15,80,Medium
946,2023-02-21,480,High
947,2022-08-16,220,High
948,2023-01-16,600,High
949,2023-07-01,20,Low
950,2022-09-25,300,High
951,2022-11-11,220,High
952,2022-09-24,280,High
953,2022-10-11,120,High
954,2023-01-31,60,Medium
955,2023-01-27,175,High
956,2022-04-30,650,High
957,2023-08-02,60,Medium
958,2022-05-22,660,High
959,2022-11-28,160,High
960,2022-12-08,375,High
961,2023-03-14,650,High
962,2022-05-18,650,High
963,2022-05-10,120,High
964,2022-07-05,320,High
965,2022-08-10,250,High
966,2023-03-19,220,High
967,2022-06-29,560,High
968,2022-09-08,600,High
969,2022-06-11,440,High
970,2022-11-21,100,Medium
971,2022-02-10,100,Medium
972,2023-11-03,20,Low
973,2022-07-06,25,Low
974,2023-01-28,260,High
975,2023-01-15,20,Low
976,2022-04-17,275,High
977,2023-05-01,20,Low
978,2022-08-10,100,Medium
979,2022-05-21,260,High
980,2022-06-20,180,High
981,2023-01-22,300,High
982,2023-03-30,350,High
983,2023-03-17,400,High
984,2023-07-01,150,High
985,2022-06-14,50,Medium
986,2022-04-30,325,High
987,2023-04-01,60,Medium
988,2023-03-01,650,High
989,2022-11-10,520,High
990,2022-11-24,200,High
991,2023-01-18,420,High
992,2022-10-21,300,High
993,2022-07-17,150,High
994,2022-01-11,40,Low
995,2022-06-18,25,Low
996,2023-03-19,500,High
997,2022-09-20,420,High
998,2023-01-26,780,High
999,2022-08-27,100,Medium
1000,2022-05-29,60,Medium
